Title: List of Funded Startups in San Francisco (2026)
San Francisco remains the epicenter of innovation and these freshly funded San Francisco startups are defining what’s next. 

From [AI](https://fundraiseinsider.com/blog/ai-startups/)and Web3 to [biotech](https://fundraiseinsider.com/blog/biotech-startups/), [SaaS](https://fundraiseinsider.com/blog/recently-funded-saas-startups/), and enterprise automation, San Francisco’s startups continue to attract some of the largest funding rounds in the world. These companies are scaling fast, hiring top talent, expanding into new markets, and actively looking for partners, platforms, and services to fuel their next phase of growth. 

At Fundraise Insider, we track every newly funded startup in San Francisco and deliver verified contact details for founders, C-suite executives, and decision makers so you can reach out before your competitors even know they raised. 

Below is a sample of recently funded startups based in San Francisco. 

Just after raising venture capital, startups in San Francisco will hire new employees, sign-on new agencies (marketing, software development, recruitment, legal, accounting, etc) and buy new SaaS software to help them grow their business. 

If you’re looking to sign-on new clients this year, pitch to these San Francisco startups right after they raise funding via the [B2B sales leads list](https://fundraiseinsider.com/)– **Fundraise Insider **, trusted by the likes of Google, Oracle, Brex, Plaid, Gartner, etc. 

> Pay Once, Get Lifetime Weekly Leads | Fundraise Insider

## Newly Funded San Francisco Startups

****Click here to download 10 leads from newly funded startups. ****

**Leads list includes: ***First Name, Last Name, Title, Company, Email, Linkedin Url, # Employees, Industry, Website, Company Linkedin Url, Facebook Url, Twitter Url, Company Phone, Technologies, Annual Revenue, Short Description, Founded Year, Top 5 Investors, Funding Amount, Headquarters, Funding Type, Funding Date. *

| Company | Industry | Website | Headquarters | Funding Type | 
| MerQube | capital markets | http://www.merqube.com | San Francisco, California, United States | Series C | 
| Palm | information technology & services | http://www.getpalm.com | San Francisco, California, United States | Venture - Series Unknown | 
| Quartzy | information technology & services | http://www.quartzy.com | Hayward, California, United States | Debt Financing | 
| Valius Sciences | research | http://www.valiussciences.com | San Francisco, California, United States | Venture - Series Unknown | 
| Watershed Therapeutics | pharmaceuticals | http://www.watershedtx.com | Los Altos, California, United States | Venture - Series Unknown | 
| Certo | information technology & services | http://www.askcerto.com | San Francisco, California, United States | Seed | 
| AfterQuery | information technology & services | http://www.afterquery.com | San Francisco, California, United States | Series A | 
| Rork | information technology & services | http://www.rork.com | San Francisco, California, United States | Seed | 
| Lumen Energy | renewables & environment | http://www.getlumen.com | San Francisco, California, United States | Venture - Series Unknown | 
| Onward | transportation/trucking/railroad | http://www.onwardrides.com | Santa Rosa, California, United States | Grant | 
| SiFive | semiconductors | http://www.sifive.com | San Mateo, California, United States | Series G | 
| Pipe | financial services | http://www.pipe.com | San Francisco, California, United States | Venture - Series Unknown | 
| Bridgepointe Technologies | information technology & services | http://www.bridgepointetechnologies.com | San Mateo, California, United States | Private Equity | 
| Kalinda | information technology & services | http://www.kalinda.ai | San Francisco, California, United States | Seed | 
| Plume | information technology & services | http://www.plumefinder.com | San Francisco, California, United States | Seed | 
| Luminai | information technology & services | http://www.luminai.com | San Francisco, California, United States | Series B | 
| Patlytics | information technology & services | http://www.patlytics.ai | San Francisco, California, United States | Series B | 
| The Interaction Company of California | information technology & services | http://www.interaction.co | Palo Alto, California, United States | Seed | 
| Pharos | information technology & services | http://www.pharos.xyz | Menlo Park, California, United States | Series A | 
| Deep Cogito | information technology & services | http://www.deepcogito.com | San Francisco, California, United States | Series A | 
| OTU Medical | medical devices | http://www.otumed.com | Union City, California, United States | Venture - Series Unknown | 
| CodePath | higher education | http://www.codepath.org | San Francisco, California, United States | Grant | 
| Endovascular Engineering | medical devices | http://www.endovascularengineering.com | Menlo Park, California, United States | Series C | 
| Prime Data Centers | real estate | http://www.primedatacenters.com | San Francisco, California, United States | Private Equity | 
| NeuBird | information technology & services | http://www.neubird.ai | Redwood City, California, United States | Venture - Series Unknown | 
| TAO Digital Solutions | information technology & services | http://www.taodigitalsolutions.com | Santa Clara, California, United States | Undisclosed | 
| Strala Group | insurance | http://www.strala.ai | San Francisco, California, United States | Venture - Series Unknown | 
| Numos | information technology & services | http://www.numosai.com | San Mateo, California, United States | Seed | 
| Miravoice | information technology & services | http://www.miravoice.com | San Francisco, California, United States | Seed | 
| BIzCap | financial services | http://www.bizcap.com | San Francisco, California, United States | Debt Financing | 
| daydream Labs | information technology & services | http://www.withdaydream.com | San Francisco, California, United States | Series A | 
| Alcatraz AI | information technology & services | http://www.alcatraz.ai | Cupertino, California, United States | Series B | 
| Cognichip | information technology & services | http://www.cognichip.ai | Redwood City, California, United States | Series A | 
| PickMyBrain | internet | http://www.pickmybrain.com | Menlo Park, California, United States | Pre-Seed | 
| Neuron Factory | information technology & services | http://www.neuronfactory.ai | Redwood City, California, United States | Seed | 
| Also | automotive | http://www.ridealso.com | Palo Alto, California, United States | Series C | 
| EnerVenue | environmental services | http://www.enervenue.com | Fremont, California, United States | Series B | 
| Antaris | information technology & services | http://www.antaris.space | Los Altos, California, United States | Series A | 
| depthfirst | computer & network security | http://www.depthfirst.com | San Francisco, California, United States | Series B | 
| ProjectX | information technology & services | http://www.projectx.cloud | San Francisco, California, United States | Pre-Seed | 
| Centivax | biotechnology | http://www.centivax.com | South San Francisco, California, United States | Venture - Series Unknown | 
| Promaxo | medical devices | http://www.promaxo.com | Oakland, California, United States | Venture - Series Unknown | 
| Soundable Health | medical devices | http://www.soundablehealth.com | San Francisco, California, United States | Venture - Series Unknown | 
| Skillsvest | financial services | http://www.skillsvest.com | San Francisco, California, United States | Pre-Seed | 
| MyCareLinq, Inc. | information technology & services | http://www.mycarelinq.com | Berkeley, California, United States | Seed | 
| Genius | information technology & services | http://www.tradegenius.com | San Francisco, California, United States | Pre-Seed | 
| Xona | aviation & aerospace | http://www.xonaspace.com | Burlingame, California, United States | Series C | 
| Opus1.io | information technology & services | http://www.opus1.io | Palo Alto, California, United States | Series B | 
| Just Date | food & beverages | http://www.enjoyjustdate.com | San Francisco, California, United States | Venture - Series Unknown | 
| Firebird AI | information technology & services | http://www.firebird.ai | San Francisco, California, United States | Debt Financing | 
| Harvey | information technology & services | http://www.harvey.ai | San Francisco, California, United States | Series G | 
| Instead | information technology & services | http://www.instead.com | San Francisco, California, United States | Undisclosed | 
| Tripo | information technology & services | http://www.tripo3d.ai | San Francisco, California, United States | Venture - Series Unknown | 
| FutureDial | wireless | http://www.futuredial.com | Sunnyvale, California, United States | Series D | 
| Qualified Health | hospital & health care | http://www.qualifiedhealthai.com | San Carlos, California, United States | Series B | 
| Arinna | aviation & aerospace | http://www.arinna.xyz | South San Francisco, California, United States | Seed | 
| Mandel AI | information technology & services | http://www.mandel.ai | San Francisco, California, United States | Seed | 
| Deccan AI | information technology & services | http://www.deccan.ai | San Francisco, California, United States | Series A | 
| Praan | environmental services | http://www.praan.io | San Francisco, California, United States | Seed | 
| Navi AI | information technology & services | http://www.flynavi.com | San Francisco, California, United States | Grant | 
| Mojo Vision | electrical/electronic manufacturing | http://www.mojo.vision | Saratoga, California, United States | Venture - Series Unknown | 
| OpenAI | research | http://www.openai.com | San Francisco, California, United States | Venture - Series Unknown | 
| Grw AI | information technology & services | http://www.grw.ai | San Francisco, California, United States | Seed | 
| Doss | information technology & services | http://www.doss.com | San Francisco, California, United States | Series B | 
| Shepherd | insurance | http://www.shepherdinsurance.com | San Francisco, California, United States | Series B | 
| Zalos | information technology & services | http://www.zalos.ai | San Francisco, California, United States | Seed | 
| Gimlet Labs | information technology & services | http://www.gimletlabs.ai | San Francisco, California, United States | Series A | 
| DaVinci Commerce | information technology & services | http://www.jivox.com | San Mateo, California, United States | Venture - Series Unknown | 
| GS Microelectronics | semiconductors | http://www.gsme.com | San Jose, California, United States | Venture - Series Unknown | 
| ImmuneBridge | research | http://www.immunebridge.com | San Francisco, California, United States | Seed | 
| BlueFlag Security | information technology & services | http://www.blueflagsecurity.com | Sunnyvale, California, United States | Series A | 
| Trinamix | information technology & services | http://www.trinamix.com | San Jose, California, United States | Private Equity | 
| LittleBird | information technology & services | http://www.littlebird.ai | San Francisco, California, United States | Seed | 
| Remy AI | mechanical or industrial engineering | http://www.tryremy.ai | San Francisco, California, United States | Seed | 
| Verily | hospital & health care | http://www.verily.com | South San Francisco, California, United States | Private Equity | 
| WideField Security | computer & network security | http://www.widefield.ai | Santa Clara, California, United States | Series A | 
| Bedrock Security | information technology & services | http://www.bedrockdata.ai | San Mateo, California, United States | Venture - Series Unknown | 
| Health Universe | information technology & services | http://www.healthuniverse.com | San Francisco, California, United States | Seed | 
| Matternet | logistics & supply chain | http://www.matternet.com | Mountain View, California, United States | Debt Financing | 
| Corridor | information technology & services | http://www.corridor.dev | San Francisco, California, United States | Series A | 
| VoiceBit | information technology & services | http://www.voicebit.ai | San Francisco, California, United States | Pre-Seed | 
| Numerion Labs | research | http://www.numerionlabs.ai | San Francisco, California, United States | Series D | 
| Dentronic | mechanical or industrial engineering | http://www.dentronic.ai | San Francisco, California, United States | Pre-Seed | 
| Xage Security | computer & network security | http://www.xage.com | Palo Alto, California, United States | Venture - Series Unknown | 
| Paraform | internet | http://www.paraform.com | San Francisco, California, United States | Series B | 
| RunSybil | computer & network security | http://www.runsybil.com | San Francisco, California, United States | Seed | 
| Latent | information technology & services | http://www.latenthealth.com | San Francisco, California, United States | Series A | 
| Respan | information technology & services | http://www.keywordsai.co | San Francisco, California, United States | Seed | 
| Autoscience | information technology & services | http://www.autoscience.ai | San Mateo, California, United States | Seed | 
| Ezra AI Labs | information technology & services | http://www.ezrarecruiting.com | San Francisco, California, United States | Seed | 
| Raven.io | information technology & services | http://www.raven.io | Palo Alto, California, United States | Seed | 
| Eragon | information technology & services | http://www.eragon.ai | San Francisco, California, United States | Seed | 
| Fluid Dynamics Plumbing | wholesale | http://www.fluiddynamicsplumbing.com | San Jose, California, United States | Seed | 
| Linux Foundation | information technology & services | http://www.linuxfoundation.org | San Francisco, California, United States | Grant | 
| Aira Technologies | wireless | http://www.aira-technology.com | Saratoga, California, United States | Venture - Series Unknown | 
| Rubi Laboratories | chemicals | http://www.rubi.earth | San Francisco, California, United States | Venture - Series Unknown | 
| Frore Systems | computer hardware | http://www.froresystems.com | San Jose, California, United States | Series D | 
| Kudwa | financial services | http://www.kudwa.co | San Francisco, California, United States | Seed | 
| Zingroll | entertainment | http://www.zingroll.com | Menlo Park, California, United States | Seed | 
| RoboForce | mechanical or industrial engineering | http://www.roboforce.ai | Milpitas, California, United States | Venture - Series Unknown | 
| Unnatural Products | biotechnology | http://www.unp.xyz | Santa Cruz, California, United States | Series B | 
| Dodge AI | information technology & services | http://www.getdodge.ai | San Francisco, California, United States | Seed | 
| RockRose Risk | insurance | http://www.rockroserisk.com | Napa, California, United States | Undisclosed | 
| Atlys | information technology & services | http://www.atlys.com | San Francisco, California, United States | Series C | 
| Nyne.ai | information technology & services | http://www.nyne.ai | San Francisco, California, United States | Seed | 
| Ark Labs | information technology & services | http://www.arklabs.xyz | San Francisco, California, United States | Seed | 
| Axiom Math AI | information technology & services | http://www.axiommath.ai | Palo Alto, California, United States | Series A | 
| Sunday | mechanical or industrial engineering | http://www.sunday.ai | Mountain View, California, United States | Series B | 
| Rox | information technology & services | http://www.rox.com | San Francisco, California, United States | Series B | 
| BackOps AI | information technology & services | http://www.backops.ai | San Francisco, California, United States | Series A | 
| ORO Labs | information technology & services | http://www.orolabs.ai | Palo Alto, California, United States | Series C | 
| SkySelect | aviation & aerospace | http://www.skyselect.com | San Francisco, California, United States | Venture - Series Unknown | 
| Standard Kernel | information technology & services | http://www.standardkernel.com | Palo Alto, California, United States | Seed | 
| Lightwheel | information technology & services | http://www.lightwheel.ai | Santa Clara, California, United States | Series A | 
| Replit | information technology & services | http://www.replit.com | Foster City, California, United States | Series D | 
| Axiamatic | information technology & services | http://www.axiamatic.com | Saratoga, California, United States | Series A | 
| Quince | retail | http://www.quince.com | San Francisco, California, United States | Series E | 
| Emboline | medical devices | http://www.emboline.com | Santa Cruz, California, United States | Venture - Series Unknown | 
| Handle | information technology & services | http://www.handle.com | Palo Alto, California, United States | Seed | 
| Option Circle | financial services | http://www.optioncircle.com | San Jose, California, United States | Venture - Series Unknown | 
| Taya | information technology & services | http://www.tayanecklace.com | San Francisco, California, United States | Seed | 
| Spin.AI | security & investigations | http://www.spin.ai | Palo Alto, California, United States | Venture - Series Unknown | 
| Nexthop AI | computer networking | http://www.nexthop.ai | Santa Clara, California, United States | Series B | 
| Primergy Solar | renewables & environment | http://www.primergypower.com | Oakland, California, United States | Debt Financing | 
| Dexmate | mechanical or industrial engineering | http://www.dexmate.ai | Santa Clara, California, United States | Venture - Series Unknown | 
| Scanner.dev | information technology & services | http://www.scanner.dev | San Francisco, California, United States | Series A | 
| AgentMail | information technology & services | http://www.agentmail.to | San Francisco, California, United States | Seed | 
| Anyware Robotics | mechanical or industrial engineering | http://www.anyware-robotics.com | Fremont, California, United States | Seed | 
| Juicebox | information technology & services | http://www.juicebox.ai | San Francisco, California, United States | Series B | 
| Arya | hospital & health care | http://www.aryahealth.ai | San Francisco, California, United States | Grant | 
| Eridu | computer networking | http://www.eridu.ai | Saratoga, California, United States | Series A | 
| Amber Semiconductor | electrical/electronic manufacturing | http://www.ambersi.com | Dublin, California, United States | Series C | 
| Coreworks AI | information technology & services | http://www.coreworks.ai | Palo Alto, California, United States | Seed | 
| Zig.ai | information technology & services | http://www.zig.ai | San Francisco, California, United States | Seed | 
| TestBox | information technology & services | http://www.testbox.com | San Francisco, California, United States | Series A | 
| Intercom | information technology & services | http://www.intercom.com | San Francisco, California, United States | Debt Financing | 
| Flexiv | industrial automation | http://www.flexiv.com | Santa Clara, California, United States | Venture - Series Unknown | 
| Instrumental | information technology & services | http://www.instrumental.com | Palo Alto, California, United States | Venture - Series Unknown | 
| Dify.AI | information technology & services | http://www.dify.ai | Sunnyvale, California, United States | Seed | 
| Crafting | information services | http://www.crafting.dev | San Francisco, California, United States | Seed | 
| Metanovas Biotech | research | http://www.metanovas.com | Mountain View, California, United States | Series A | 
| U.S. Digital Response | civic & social organization | http://www.usdigitalresponse.org | San Francisco, California, United States | Grant | 
| Atlas Data Storage | information technology & services | http://www.atlasds.com | South San Francisco, California, United States | Seed | 
| Lio | information technology & services | http://www.asklio.ai | San Francisco, California, United States | Series A | 
| Science | biotechnology | http://www.science.xyz | Alameda, California, United States | Series C | 
| Diligence Squared | market research | http://www.diligencesquared.com | San Francisco, California, United States | Seed | 
| Portside | information technology & services | http://www.portside.co | San Francisco, California, United States | Private Equity | 
| Fiscor | financial services | http://www.myfiscor.com | Napa, California, United States | Pre-Seed | 
| ParcelBio | research | http://www.parcelbio.com | San Francisco, California, United States | Venture - Series Unknown | 
| Doctours | hospitality | http://www.doctours.com | San Francisco, California, United States | Seed | 
| Peltier | logistics & supply chain | http://www.peltierpro.com | San Francisco, California, United States | Seed | 
| ArmorCode | information technology & services | http://www.armorcode.com | Palo Alto, California, United States | Venture - Series Unknown | 
| 14.ai | information technology & services | http://www.14.ai | San Francisco, California, United States | Seed | 
| BrainLogic AI | information technology & services | http://www.zapia.com | Menlo Park, California, United States | Seed | 
| Alora | farming | http://www.alora.world | San Francisco, California, United States | Venture - Series Unknown | 
| Deepen AI | information technology & services | http://www.deepen.ai | Santa Clara, California, United States | Seed | 
| NewWork Software | information technology & services | http://www.newwork.com | Palo Alto, California, United States | Seed | 
| Plurio | information technology & services | http://www.ellyanalytics.com | Palo Alto, California, United States | Seed | 
| TradeForm | logistics & supply chain | http://www.trade-form.com | Berkeley, California, United States | Pre-Seed | 
| SustainaVerse | food & beverages | http://www.sustaina-verse.com | Palo Alto, California, United States | Seed | 
| MeltPlan | information technology & services | http://www.meltplan.com | Berkeley, California, United States | Seed | 
| Trace | information technology & services | http://www.trace.so | San Francisco, California, United States | Seed | 
| Pluvo | information technology & services | http://www.pluvo.io | San Francisco, California, United States | Seed | 
| UpGuard | information technology & services | http://www.upguard.com | Mountain View, California, United States | Series C | 
| VITURE | electrical/electronic manufacturing | http://www.viture.com | San Francisco, California, United States | Venture - Series Unknown | 
| Encord | information technology & services | http://www.encord.com | San Francisco, California, United States | Series C | 
| Prophet Security | computer & network security | http://www.prophetsecurity.ai | Palo Alto, California, United States | Venture - Series Unknown | 
| Avisi Technologies | medical devices | http://www.avisitech.com | Redwood City, California, United States | Series A | 
| Harper | insurance | http://www.harperinsure.com | San Francisco, California, United States | Series A | 
| Burst | financial services | http://www.heyfloat.com | San Francisco, California, United States | Seed | 
| UVify | aviation & aerospace | http://www.uvify.com | San Francisco, California, United States | Venture - Series Unknown | 
| Dots | financial services | http://www.usedots.com | San Francisco, California, United States | Series A | 
| Abram Scientific | medical devices | http://www.abramscientific.com | Menlo Park, California, United States | Series A | 
| NationGraph | information technology & services | http://www.nationgraph.com | San Francisco, California, United States | Series A | 
| Wheel the World | information technology & services | http://www.wheeltheworld.com | San Francisco, California, United States | Series A | 
| t54 Labs | financial services | http://www.t54.ai | San Francisco, California, United States | Seed | 
| Rowspace | information technology & services | http://www.rowspace.ai | San Francisco, California, United States | Series A | 
| Quill Meetings | information technology & services | http://www.quillmeetings.com | South San Francisco, Pennsylvania, United States | Seed | 
| s2.dev | information technology & services | http://www.s2.dev | San Francisco, California, United States | Seed | 
| Chariot Defense | defense & space | http://www.chariotdefense.com | South San Francisco, California, United States | Series A | 
| Koah Labs | information technology & services | http://www.koahlabs.com | San Francisco, California, United States | Series A | 
| Tamarind Bio | information technology & services | http://www.tamarind.bio | San Francisco, California, United States | Series A | 
| Broccoli | information technology & services | http://www.broccoli.com | San Francisco, California, United States | Venture - Series Unknown | 
| Validfor | information technology & services | http://www.validfor.com | San Francisco, California, United States | Pre-Seed | 
| Jampack AI | information technology & services | http://www.jampack.ai | San Francisco, California, United States | Seed | 
| BrikMate | information technology & services | http://www.brikmate.com | San Francisco, California, United States | Venture - Series Unknown | 
| Auctus Surgical | medical devices | http://www.auctussurgical.com | Danville, California, United States | Seed | 
| MatX | computer hardware | http://www.matx.com | Mountain View, California, United States | Series B | 
| Aalyria | aviation & aerospace | http://www.aalyria.com | Livermore, California, United States | Series B | 
| Sherpas | information technology & services | http://www.sherpaswealth.com | San Francisco, California, United States | Seed | 
| Humand | information technology & services | http://www.humand.co | San Francisco, California, United States | Series A | 
| Giant | entertainment | http://www.giant.org | San Francisco, California, United States | Seed | 
| Portkey | information technology & services | http://www.portkey.ai | San Francisco, California, United States | Series A | 
| Badge | information technology & services | http://www.trybadge.com | San Francisco, California, United States | Series A | 
| KresusLabs | information technology & services | http://www.kresus.com | San Francisco, California, United States | Venture - Series Unknown | 
| Kiavi | financial services | http://www.kiavi.com | San Francisco, California, United States | Debt Financing | 
| Kana | information technology & services | http://www.kana.ai | San Francisco, California, United States | Seed | 
| ProSomnus Sleep Technologies | medical devices | http://www.prosomnus.com | Pleasanton, California, United States | Venture - Series Unknown | 
| Cogent Security | computer & network security | http://www.cogent.com | San Francisco, California, United States | Series A | 
| Rainfall Health | hospital & health care | http://www.rainfallhealth.com | Berkeley, California, United States | Series A | 
| World Labs | research | http://www.worldlabs.ai | San Francisco, California, United States | Venture - Series Unknown | 
| Heron Power | electrical/electronic manufacturing | http://www.heronpower.com | Scotts Valley, California, United States | Series B | 
| Selector | information technology & services | http://www.selector.ai | Santa Clara, California, United States | Venture - Series Unknown | 
| Duckbill | information technology & services | http://www.duckbillhq.com | San Francisco, California, United States | Venture - Series Unknown | 
| Dataro | information services | http://www.dataro.io | San Francisco, California, United States | Series A | 
| Sphinx | information technology & services | http://www.sphinxhq.com | San Francisco, California, United States | Seed | 
| Autosana | information technology & services | http://www.autosana.ai | San Francisco, California, United States | Seed | 
| Render | information technology & services | http://www.render.com | San Francisco, California, United States | Series C | 
| Braintrust Data | information technology & services | http://www.braintrust.dev | San Francisco, California, United States | Series B | 
| TasksMind | information technology & services | http://www.tasksmind.com | San Francisco, California, United States | Pre-Seed | 
| Rets AI | information technology & services | http://www.rets.ai | Palo Alto, California, United States | Pre-Seed | 
| Aepnus Technology | chemicals | http://www.aepnus.com | Oakland, California, United States | Seed | 
| Ladies Who Launch | nonprofit organization management | http://www.ladieswholaunch.org | San Francisco, California, United States | Grant | 
| Predictive Horizons | information technology & services | http://www.predictivehorizons.ai | San Ramon, California, United States | Seed | 
| Big Health | mental health care | http://www.bighealth.com | San Francisco, California, United States | Venture - Series Unknown | 
| Simile | information technology & services | http://www.simile.ai | Palo Alto, California, United States | Series A | 
| Anthropic | research | http://www.anthropic.com | San Francisco, California, United States | Series G | 
| Opaque Systems | information technology & services | http://www.opaque.co | San Francisco, California, United States | Series B | 
| Tomo Club | education management | http://www.tomoclub.org | San Francisco, California, United States | Seed | 
| XCINEX | information technology & services | http://www.xcinex.com | Palo Alto, California, United States | Seed | 
| Ever | information technology & services | http://www.evercars.com | San Francisco, California, United States | Series A | 
| Manufact | information technology & services | http://www.mcp-use.com | San Francisco, California, United States | Seed | 
| MightyFly | logistics & supply chain | http://www.mightyfly.com | San Francisco, California, United States | Seed | 
| InScope | information technology & services | http://www.inscopehq.com | San Francisco, California, United States | Venture - Series Unknown | 
| Monaco | information technology & services | http://www.monaco.com | San Francisco, California, United States | Series A | 
| Archimetis | information technology & services | http://www.archimetis.ai | South San Francisco, Pennsylvania, United States | Venture - Series Unknown | 
| Inertia | renewables & environment | http://www.inertia.com | San Francisco, California, United States | Series A | 
| Upgrade | financial services | http://www.upgrade.com | San Francisco, California, United States | Debt Financing | 
| Bretton AI | information technology & services | http://www.greenlite.ai | San Francisco, California, United States | Series B | 
| Simple AI | information technology & services | http://www.usesimple.ai | San Francisco, California, United States | Seed | 
| Solace | hospital & health care | http://www.solace.health | Redwood City, California, United States | Series C | 
| Realm Labs | computer & network security | http://www.realmlabs.ai | Sunnyvale, California, United States | Seed | 
| ZeroPath | computer & network security | http://www.zeropath.com | San Francisco, California, United States | Seed | 
| Newo.ai | information technology & services | http://www.newo.ai | San Francisco, California, United States | Series A | 
| Deep Fission | oil & energy | http://www.deepfission.com | Berkeley, California, United States | Undisclosed | 
| SambaNova | computer hardware | http://www.sambanova.ai | Palo Alto, California, United States | Series E | 
| Veria Labs | computer & network security | http://www.verialabs.com | San Francisco, California, United States | Seed | 
| Astro Health. ai | hospital & health care | http://www.astrohealth.ai | San Francisco, California, United States | Pre-Seed | 
| Forerunner | information technology & services | http://www.withforerunner.com | San Francisco, California, United States | Series B | 
| Turnstile | information technology & services | http://www.turnstile.ai | San Francisco, California, United States | Series A | 
| Goodfire | information technology & services | http://www.goodfire.ai | San Francisco, California, United States | Series B | 
| Sapiom | financial services | http://www.sapiom.ai | San Francisco, California, United States | Seed | 
| BeConfident | education management | http://www.beconfident.app | San Francisco, California, United States | Series A | 
| Fundamental | information technology & services | http://www.fundamental.tech | San Francisco, California, United States | Series A | 
| Bedrock Robotics | mechanical or industrial engineering | http://www.bedrockrobotics.com | San Francisco, California, United States | Series B | 
| CNAPS.AI | information technology & services | http://www.cnaps.ai | San Francisco, California, United States | Seed | 
| Expert Intelligence | information technology & services | http://www.expertintelligence.ai | Santa Clara, California, United States | Seed | 
| TRM Labs | information services | http://www.trmlabs.com | San Francisco, California, United States | Series C | 
| Lunar Energy | information technology & services | http://www.lunarenergy.com | Mountain View, California, United States | Series D | 
| Feltsense Holdings | information technology & services | http://www.feltsense.com | South San Francisco, Pennsylvania, United States | Seed | 
| Uptool | information technology & services | http://www.uptool.com | San Mateo, California, United States | Seed | 
| Phylo | research | http://www.phylo.bio | South San Francisco, California, United States | Seed | 
| Kindred | leisure, travel & tourism | http://www.livekindred.com | San Francisco, California, United States | Series C | 
| Ditto AI | information technology & services | http://www.ditto.ai | Berkeley, California, United States | Seed | 
| Airrived | computer & network security | http://www.airrived.ai | Dublin, California, United States | Seed | 
| RAPIDFORT | computer & network security | http://www.rapidfort.com | Sunnyvale, California, United States | Series A | 
| Gruve | information technology & services | http://www.gruve.ai | San Francisco, California, United States | Series A | 
| Powerline | renewables & environment | http://www.drivepowerline.com | Palo Alto, California, United States | Seed | 
| Derapi | information technology & services | http://www.derapi.com | San Francisco, California, United States | Seed | 
| Deft Robotics | mechanical or industrial engineering | http://www.deftai.co | San Francisco, California, United States | Seed | 
| Varo Bank | banking | http://www.varomoney.com | San Francisco, California, United States | Series G | 
| Waymo | information technology & services | http://www.waymo.com | Mountain View, California, United States | Series D | 
